"name";"identifier";"SMILES";"inchikey";"MW";"LogP";"pubchem";"chEMBL";"membrane";"method";"temperature";"charge";"note";"LogK";"LogPerm_molmedb_value";"primary_reference";"method_label";"Perm"
"Antipyrine";"MM00333";"Cc1cc(=O)n(-c2ccccc2)n1C";"VEQOALNAAJBPNY-UHFFFAOYSA-N";188.23;1.48;"2206";"CHEMBL277474";"CACO";"ECACO";"25";"0";;;-4.48;"Yamashita, S., Furubayashi, T., Kataoka, M., Sakane, T., Sezaki, H., Tokuda, H. Optimized conditions for prediction of intestinal drug permeability using Caco-2 cells. Europ. J. Pharm. Sci. 2000, 10(3) 195-204";"CACO-2";0.000033113112148259076
"Theophylline";"MM00048";"Cn1c(=O)c2nc[nH]c2n(C)c1=O";"ZFXYFBGIUFBOJW-UHFFFAOYSA-N";180.17;-1.04;"2153";"CHEMBL190";"CACO";"ECACO";"25";"0";;;-4.6;"Yamashita, S., Furubayashi, T., Kataoka, M., Sakane, T., Sezaki, H., Tokuda, H. Optimized conditions for prediction of intestinal drug permeability using Caco-2 cells. Europ. J. Pharm. Sci. 2000, 10(3) 195-204";"CACO-2";0.000025118864315095822
"Dexamethasone";"MM00355";"C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO";"UREBDLICKHMUKA-CXSFZGCWSA-N";392.47;1.9;"5743";"CHEMBL384467";"CACO";"ECACO";"25";"0";;;-4.92;"Yamashita, S., Furubayashi, T., Kataoka, M., Sakane, T., Sezaki, H., Tokuda, H. Optimized conditions for prediction of intestinal drug permeability using Caco-2 cells. Europ. J. Pharm. Sci. 2000, 10(3) 195-204";"CACO-2";0.000012022644346174132
"Acetaminophen";"MM00322";"CC(=O)Nc1ccc(O)cc1";"RZVAJINKPMORJF-UHFFFAOYSA-N";151.17;1.35;"1983";"CHEMBL112";"CACO";"ECACO";"25";"0";;;-4.63;"Yamashita, S., Furubayashi, T., Kataoka, M., Sakane, T., Sezaki, H., Tokuda, H. Optimized conditions for prediction of intestinal drug permeability using Caco-2 cells. Europ. J. Pharm. Sci. 2000, 10(3) 195-204";"CACO-2";0.00002344228815319923
"Hydrochlorothiazide";"MM00373";"NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O";"JZUFKLXOESDKRF-UHFFFAOYSA-N";297.75;-0.35;"3639";"CHEMBL435";"CACO";"ECACO";"25";"0";;;-6.4;"Yamashita, S., Furubayashi, T., Kataoka, M., Sakane, T., Sezaki, H., Tokuda, H. Optimized conditions for prediction of intestinal drug permeability using Caco-2 cells. Europ. J. Pharm. Sci. 2000, 10(3) 195-204";"CACO-2";0.0000003981071705534969
"Acebutolol";"MM00437";"CCCC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1";"GOEMGAFJFRBGGG-OAHLLOKOSA-N";336.43;2.37;"1978";"CHEMBL642";"CACO";"ECACO";"25";;;;-5.42;"Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999";"CACO-2";0.000003801893963205613
"Acetaminophen";"MM00322";"CC(=O)Nc1ccc(O)cc1";"RZVAJINKPMORJF-UHFFFAOYSA-N";151.17;1.35;"1983";"CHEMBL112";"CACO";"ECACO";"25";;;;-4;"Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999";"CACO-2";0.0001
"Acetylsalicylic Acid";"MM00080";"CC(=O)Oc1ccccc1C(=O)O";"BSYNRYMUTXBXSQ-UHFFFAOYSA-N";180.16;1.31;"2244";"CHEMBL25";"CACO";"ECACO";"25";;;;-5.66;"Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999";"CACO-2";0.0000021877616239495517
"Acrivastine";"MM00715";"Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1";"PWACSDKDOHSSQD-IUTFFREVSA-N";348.45;4.02;"5284514";"CHEMBL1224";"CACO";"ECACO";"25";;;;-5.72;"Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999";"CACO-2";0.0000019054607179632483
"Alprenolol";"MM00440";"C=CCc1ccccc1OC[C@H](O)CNC(C)C";"PAZJSJFMUHDSTF-CQSZACIVSA-N";249.35;2.15;"2119";"CHEMBL266195";"CACO";"ECACO";"25";;;;-3.77;"Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999";"CACO-2";0.00016982436524617443
